Value: million baht (2019),Value: million baht (2020),Value: million baht (2021),Growth rate (%) (2019),Growth rate (%) (2020),Growth rate (%) (2021),Proportion (%) (2019),Proportion (%) (2020),Proportion (%) (2021)
15054049.3705,13659835.0444,17091184.9485,-6.9148,-9.2614,25.12,100.0,100.0,100.0
7628400.3923,7183567.6129,8542102.6683,-5.9186,-5.8313,18.9117,100.0,100.0,100.0
7425648.9782,6476267.4315,8549082.2802,-7.9165,-12.7852,32.0063,100.0,100.0,100.0
202751.4141,707300.1814,-6979.6119,358.0827,248.8509,-100.9868,,,
